type,run_idx,latency_ms
run,1,297.352863
run,2,310.397891
run,3,299.198056
run,4,296.525382
run,5,311.291654
run,6,303.650379
run,7,297.180204
run,8,307.294358
run,9,302.858591
run,10,300.726013
run,11,299.681084
run,12,296.728589
run,13,297.715064
run,14,298.216688
run,15,289.536724
run,16,290.282700
run,17,292.407429
run,18,303.327451
run,19,312.766347
run,20,303.397426
run,21,308.565132
run,22,300.546214
run,23,291.428529
run,24,312.262656
run,25,306.821784
run,26,296.066707
run,27,325.845731
run,28,319.254246
run,29,303.299056
run,30,300.602898
run,31,300.777903
run,32,299.087727
run,33,302.918611
run,34,302.599546
run,35,326.524667
run,36,315.124661
run,37,344.517685
run,38,307.280205
run,39,306.175318
run,40,294.176446
run,41,320.376039
run,42,298.373323
run,43,294.817312
run,44,300.228026
run,45,366.112553
run,46,323.181337
run,47,369.509390
run,48,308.378741
run,49,304.836359
run,50,314.530348

summary,metric,value
summary,warmup_runs,10
summary,num_runs,50
summary,avg_ms,307.495081
summary,p50_ms,303.108834
summary,p95_ms,336.420827
summary,min_ms,289.536724
summary,max_ms,369.509390
