Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.4,1364666764,1177,1159445.0,12169.0,2352,36681005,4873878.4,cuMemcpyHtoDAsync_v2
8.3,165526076,9,18391786.2,1695575.0,526,124956978,40476285.2,cudaFree
8.3,165005099,1997,82626.5,4030.0,2559,22261595,798134.9,cudaLaunchKernel
6.9,138621183,2412,57471.5,732.5,271,25340646,808512.8,cuEventRecord
1.6,30948125,73,423946.9,25448.0,3858,4847798,1032820.8,cuModuleUnload
1.3,25912992,30,863766.4,174921.0,1071,10375490,2082857.2,cuEventSynchronize
1.2,23160740,2,11580370.0,11580370.0,1191249,21969491,14692435.8,cuMemHostAlloc
0.9,17895858,713,25099.4,3403.0,2285,14343793,537064.1,cuLaunchKernel
0.4,8363754,45,185861.2,69874.0,25807,2275052,394384.5,cuModuleLoadData
0.4,7976747,16,498546.7,3675.0,2111,7657469,1909899.5,cudaStreamCreateWithFlags
0.4,7941988,102,77862.6,4404.0,1493,6282796,621776.2,cuMemsetD32Async
0.4,7594538,55,138082.5,92846.0,2674,1160080,191295.0,cuMemcpyDtoHAsync_v2
0.3,6952964,69,100767.6,801.0,257,6178932,742856.5,cuEventCreate
0.2,4764167,60,79402.8,324.0,160,4452387,574388.0,cuEventDestroy_v2
0.2,3014571,245,12304.4,644.0,348,1174512,82947.0,cudaEventRecord
0.1,2803878,2854,982.4,731.5,314,26877,1022.0,cuEventQuery
0.1,2546044,57,44667.4,26409.0,11089,760820,99675.1,cuModuleLoadFatBinary
0.1,2353180,61,38576.7,7835.0,1459,1624929,207105.8,cuMemAlloc_v2
0.1,2224345,1168,1904.4,643.5,348,295043,9632.4,cuStreamWaitEvent
0.1,1478033,8515,173.6,94.0,70,11073,321.1,cuCtxSetCurrent
0.1,1185792,60,19763.2,3130.0,1304,401427,55677.2,cuMemFree_v2
0.0,939247,1,939247.0,939247.0,939247,939247,0.0,cudaHostAlloc
0.0,854045,3,284681.7,308775.0,224960,320310,52041.1,cudaGetDeviceProperties
0.0,744369,7,106338.4,130401.0,3105,294747,109027.1,cudaMalloc
0.0,706722,49,14422.9,743.0,448,657181,93738.7,cuStreamSynchronize
0.0,441175,1920,229.8,168.0,80,7885,268.3,cuGetProcAddress
0.0,171841,182,944.2,671.0,371,5076,771.2,cudaStreamWaitEvent
0.0,129890,35,3711.1,1671.0,1366,36050,6352.1,cudaMemsetAsync
0.0,79416,6,13236.0,7596.0,709,37762,15334.6,cudaEventCreate
0.0,63559,2,31779.5,31779.5,31554,32005,318.9,cuMemGetInfo_v2
0.0,54941,45,1220.9,639.0,472,12115,1818.4,cudaEventQuery
0.0,51581,143,360.7,194.0,163,9620,892.3,cudaStreamGetCaptureInfo
0.0,41650,86,484.3,419.5,179,1743,330.0,cudaStreamIsCapturing
0.0,35175,4,8793.8,2509.0,1828,28329,13031.6,cuStreamCreate
0.0,19754,1,19754.0,19754.0,19754,19754,0.0,cuMemsetD32_v2
0.0,18320,37,495.1,334.0,239,3332,602.4,cudaEventCreateWithFlags
0.0,12739,5,2547.8,2510.0,1470,4074,1118.7,cuInit
0.0,6165,6,1027.5,1055.5,637,1343,326.8,cudaEventDestroy
0.0,795,5,159.0,128.0,113,262,62.7,cuModuleGetLoadingMode
